dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11428,1,10.0.0.1,10.0.0.8,88984,143948376,70,724198884,128259615257.0,3,1943,13575,14434982,451,0,UDP,3,3681,15372,0,1513,0,0
11504,1,10.0.0.2,10.0.0.8,26487,15596844,179,751646623,109908693402.0,3,1943,13530,13594837,451,0,UDP,2,3273,1117,0,0,0,0
11371,1,10.0.0.1,10.0.0.8,11163,57655490,318,737461383,320538071525.0,3,1790,13629,14170521,451,0,UDP,1,752451976,1110,0,0,18841,0
11222,1,10.0.0.2,10.0.0.8,32451,26566743,286,705017068,318914415394.0,3,1943,13148,14286606,451,0,UDP,1,4870,46327688,0,435,0,0
11635,1,10.0.0.2,10.0.0.8,131676,110041370,320,744837706,123122434180.0,3,1943,11468,91061,449,0,UDP,1,3811,26764,0,1921,0,0
9846,1,10.0.0.2,10.0.0.8,100693,73359009,255,724085242,216525984516.0,3,1943,13558,14551859,451,0,UDP,4,5780,3274,0,0,14967,0
11201,1,10.0.0.2,10.0.0.8,74963,65970093,165,249962894,321000000000.0,3,1306,13625,13906798,443,0,UDP,2,364048670,1104,0,0,3729,0
11635,1,10.0.0.1,10.0.0.8,10067,139070480,12,630437398,12404814968.0,3,1943,13444,13716895,450,0,UDP,1,4711,17438600,0,409,0,0
11350,1,10.0.0.1,10.0.0.8,25345,5968125,102,719502533,299164333083.0,3,1910,13612,151551,451,0,UDP,3,3497,43276205,4761,0,0,1
11635,1,10.0.0.1,10.0.0.8,106341,21482684,299,742309059,291227844872.0,2,1943,13391,0,449,0,UDP,1,4644,1101,0,6667,10832,0
11416,1,10.0.0.1,10.0.0.8,48154,92372163,156,711919458,12404799409.0,2,1943,0,14378530,451,0,UDP,4,5257,1460,0,4272,0,0
11635,1,10.0.0.1,10.0.0.8,115922,126230496,203,242000000,202728935376.0,3,1943,13388,14360624,450,0,UDP,2,4820,360626972,0,0,2516,0
9846,1,10.0.0.2,10.0.0.7,115105,54203299,316,746649484,174471094843.0,3,1943,13651,14221226,451,0,UDP,3,3780,1093,0,0,0,1
11463,1,10.0.0.1,10.0.0.8,42568,65589275,12,731287982,252145894793.0,3,1943,10682,13864399,0,0,UDP,4,5008,182047,0,0,0,1
11265,1,10.0.0.2,10.0.0.8,61885,143948214,79,726654592,320615435833.0,3,1943,13463,14443929,451,0,UDP,4,6407,19328,0,1362,0,0
11202,1,10.0.0.1,10.0.0.8,82876,54463924,285,728624820,238001410286.0,2,1910,13626,14308821,288,0,UDP,3,46667703,56012674,0,0,0,0
11302,1,10.0.0.1,10.0.0.8,5167,11081091,165,746457867,305685844220.0,2,1943,13618,14440705,451,0,UDP,3,184471400,9880,0,0,0,0
11371,1,10.0.0.1,10.0.0.8,19304,14701290,296,751344455,21618485385.0,3,1790,13631,13985701,451,0,UDP,4,3640,151581,0,0,0,0
9846,1,10.0.0.1,10.0.0.8,20001,71240230,188,747934616,320540184455.0,3,1943,13177,13612893,451,0,UDP,1,3940,1650,0,0,0,1
11635,1,10.0.0.1,10.0.0.8,19332,143948374,52,755522326,238356577999.0,3,1943,13145,14465292,455,0,UDP,3,761385133,1099,0,0,0,0
11352,1,10.0.0.1,10.0.0.7,135032,106602596,319,718837026,163751923431.0,3,1910,6075,0,451,0,UDP,3,8088,1363,0,0,0,1
11412,1,10.0.0.1,10.0.0.8,89902,43792920,160,715915362,293431958064.0,2,1790,13551,0,450,0,UDP,3,5279,1647,0,0,9486,0
11324,1,10.0.0.1,10.0.0.8,17945,138640832,134,700899750,20519704184.0,2,1943,13423,14233250,451,0,UDP,3,4261,4298,0,0,0,0
11198,1,10.0.0.1,10.0.0.7,6304,14804402,295,744045735,319560914188.0,3,1943,13593,14370138,142,0,UDP,1,766373482,48222478,0,0,0,0
9859,1,10.0.0.2,10.0.0.8,135036,142418225,15,753856662,57905932032.0,3,1943,13051,14105630,451,0,UDP,2,4057,1345,0,0,0,0
11522,1,10.0.0.1,10.0.0.8,135036,5507855,28,749643278,310712279976.0,3,1943,13651,14551958,451,0,UDP,2,3352,1134,0,922,0,0
11105,1,10.0.0.1,10.0.0.8,21343,63526422,141,252487187,283414675491.0,3,1943,13544,14231582,448,0,UDP,4,3537,4302,0,585,0,0
11200,1,10.0.0.2,10.0.0.8,128989,143501133,256,744571558,315626720365.0,3,1943,13279,13187112,449,0,UDP,2,4242,10244,0,0,0,0
11219,1,10.0.0.1,10.0.0.8,12224,14748084,314,738506291,319976279996.0,2,1943,13567,14378022,451,0,UDP,4,344097995,3747,0,0,0,1
11395,1,10.0.0.1,10.0.0.8,134414,9439073,254,267648009,214563027935.0,2,1943,12631,13792562,451,0,UDP,1,508458652,2243,0,3013,0,0
11172,1,10.0.0.2,10.0.0.8,9181,18262542,311,676347900,33578021902.0,3,1943,13578,13851400,0,0,UDP,2,5968,1093,0,0,0,0
11324,1,10.0.0.2,10.0.0.8,95081,92224704,228,727955235,192944210025.0,3,1931,0,0,451,0,UDP,1,4120,1119,0,0,0,1
9846,1,10.0.0.1,10.0.0.8,77787,39038399,22,747496836,320442844440.0,3,1943,13571,0,451,0,UDP,1,3135,1128,0,0,0,0
11148,1,10.0.0.1,10.0.0.8,19933,44562003,308,719595172,219399627741.0,3,1931,13330,14551966,451,0,UDP,3,4118,1232,0,90,0,1
11450,1,10.0.0.2,10.0.0.8,134290,126880921,27,737059085,35687123950.0,3,1943,0,0,451,0,UDP,2,46696748,1565,0,0,0,0
11532,1,10.0.0.1,10.0.0.8,134838,59350211,123,742999770,38338637051.0,2,1943,13596,14425754,142,0,UDP,2,3638,2577,16443,378,0,0
11339,1,10.0.0.1,10.0.0.7,34875,6246577,113,743523134,320014765773.0,2,1790,9774,13985843,451,0,UDP,1,5625,1105,0,0,0,0
11327,1,10.0.0.1,10.0.0.7,24566,12039179,211,249468794,320348636994.0,2,1790,13618,6918724,451,0,UDP,2,627216979,1098,0,0,0,0
11525,1,10.0.0.2,10.0.0.8,10622,113095225,319,730047114,314657395743.0,3,1943,13634,0,443,0,UDP,4,4874,4859,0,0,0,0
11635,1,10.0.0.2,10.0.0.8,132791,22190256,124,726847610,318349348014.0,3,1943,13200,14443829,451,0,UDP,1,590889989,1225,0,106,14453,0
11215,1,10.0.0.1,10.0.0.8,5425,92741128,237,693242185,168872250671.0,3,1943,13584,13735101,142,0,UDP,1,4259,1256,0,3804,0,1
9864,1,10.0.0.2,10.0.0.7,132812,143948301,220,748980275,84920626962.0,3,1306,9656,14038211,451,0,UDP,1,6176,1095,3727,0,0,0
11213,1,10.0.0.2,10.0.0.8,79967,39375955,278,748563312,68226366272.0,2,1943,13651,14551956,0,0,UDP,1,4382,2335,0,0,17313,0
11321,1,10.0.0.1,10.0.0.8,23892,139188304,214,715457571,121935808164.0,3,1306,13540,14443644,448,0,UDP,1,3949,3151,0,1981,0,0
11635,1,10.0.0.2,10.0.0.8,72554,35438624,318,714390077,302395078159.0,2,1943,2332,14550325,288,0,UDP,3,195141568,1712,0,1727,0,0
11523,1,10.0.0.2,10.0.0.7,123530,108247282,37,751270634,274105359618.0,3,1943,13631,13997809,0,0,UDP,2,3745,1167,0,0,0,0
9846,1,10.0.0.1,10.0.0.7,7576,10226358,305,242000000,312208450854.0,3,1943,13557,13995442,451,0,UDP,1,4108,3188,0,173,0,0
9846,1,10.0.0.2,10.0.0.7,5167,99495322,176,739884402,299606799547.0,3,1306,13499,14137657,451,0,UDP,1,3405,11575,0,449,0,0
11472,1,10.0.0.1,10.0.0.8,25302,60172723,117,292538410,232979703574.0,3,1943,10446,14278098,0,0,UDP,3,293628950,1231,0,914,0,0
10220,1,10.0.0.1,10.0.0.8,135036,28507507,179,242000000,26322407675.0,3,1943,13623,14448617,0,0,UDP,3,4877,1110,0,0,0,0
11620,1,10.0.0.2,10.0.0.8,78592,49446120,179,750419447,300416920105.0,3,1943,9988,14257122,455,0,UDP,1,3325935,3102,0,0,0,0
11393,1,10.0.0.1,10.0.0.8,81687,121814595,280,746263859,319794721405.0,2,1943,13621,0,451,0,UDP,2,3456,5221,0,0,0,0
9846,1,10.0.0.2,10.0.0.8,8074,143948376,320,244677373,316961308531.0,3,1790,13514,14551948,288,0,UDP,4,4737,1307,0,1775,0,0
11293,1,10.0.0.2,10.0.0.8,88677,11840888,12,726820966,309090476898.0,3,1943,13533,13889289,450,0,UDP,2,5208,3177,0,0,13908,0
11508,1,10.0.0.2,10.0.0.8,12028,132408492,320,735972936,320999779079.0,2,1910,13562,13932702,288,0,UDP,1,3466,33142090,0,0,0,0
11371,1,10.0.0.2,10.0.0.8,64406,42182647,12,744999164,25655359068.0,2,1931,13603,14426155,451,0,UDP,3,5162,325198244,0,0,4519,1
11635,1,10.0.0.1,10.0.0.8,116927,47557786,287,244923929,314435863582.0,2,1943,13492,13266072,451,0,UDP,1,7115,1119,0,0,0,0
9937,1,10.0.0.2,10.0.0.8,85543,53444630,12,756000000,235579411304.0,3,1943,5288,14551966,0,0,UDP,1,4328,1094,0,250,0,0
11490,1,10.0.0.1,10.0.0.7,90822,24126500,313,737302600,318777978417.0,2,1943,13635,13938120,451,0,UDP,3,229397233,1099,0,0,0,0
11635,1,10.0.0.2,10.0.0.8,20994,9516571,320,242000000,134049261349.0,3,1943,13611,14450917,451,0,UDP,2,5967,1112,0,335,0,0
9846,1,10.0.0.2,10.0.0.8,5167,10199949,12,705270257,144676344188.0,3,1943,13607,14410285,451,0,UDP,2,4274,1090,15417,0,4777,0
9846,1,10.0.0.2,10.0.0.8,11916,5536842,312,743775825,32920592513.0,2,1943,13543,14463241,448,0,UDP,4,4325,1124,0,0,0,0
11403,1,10.0.0.2,10.0.0.7,14403,112181563,242,746820151,207249794298.0,3,1910,13554,14364713,450,0,UDP,4,4069,26174,0,0,0,0
11471,1,10.0.0.2,10.0.0.8,23392,143417091,304,743248042,180841808112.0,3,1943,13546,13715339,451,0,UDP,3,3230,1114,0,198,11450,0
11354,1,10.0.0.1,10.0.0.8,22008,29691037,318,756000000,282321411481.0,3,1943,13478,14163029,451,0,UDP,4,3670,1228,0,0,0,0
11415,1,10.0.0.2,10.0.0.8,72506,143948376,306,745615863,311181573790.0,2,1790,13551,14362814,451,0,UDP,4,729169356,1114,0,2618,8860,0
11363,1,10.0.0.2,10.0.0.8,57358,42781680,313,747011999,312142377471.0,3,1943,13569,0,0,0,UDP,2,6430,1113,0,0,0,0
11521,1,10.0.0.1,10.0.0.8,98240,25293206,12,723935359,300028583572.0,3,1790,13517,14369881,451,0,UDP,4,4279,1100,0,105,0,0
11391,1,10.0.0.2,10.0.0.8,21192,142445727,287,747396491,304435453772.0,3,1943,13620,13768162,451,0,UDP,4,3858,61787697,0,0,0,1
9846,1,10.0.0.2,10.0.0.7,8196,37029078,47,712616985,48166147525.0,3,1943,13615,0,455,0,UDP,1,3980,1207,0,0,0,1
11282,1,10.0.0.1,10.0.0.7,65173,21620661,317,242654678,312753765673.0,3,1931,13534,14102488,451,0,UDP,2,6090,2889,0,0,0,1
11404,1,10.0.0.2,10.0.0.8,5619,129583146,240,706087415,150593470591.0,2,1306,13531,14112228,448,0,UDP,2,4113,2820,0,0,0,1
11511,1,10.0.0.2,10.0.0.8,8174,142419338,199,747218245,214101776615.0,2,1943,13586,13721052,451,0,UDP,3,3608,1173,0,0,0,0
11321,1,10.0.0.1,10.0.0.8,13277,80398411,25,750736379,319985794656.0,2,1910,13437,13878352,451,0,UDP,2,191618568,1095,0,0,0,0
9879,1,10.0.0.2,10.0.0.8,135034,6654564,319,746123015,139443147640.0,3,1943,13423,14121870,451,0,UDP,3,910497206,1105,0,0,0,1
11288,1,10.0.0.1,10.0.0.8,134389,143948365,303,709088579,237910525264.0,3,1943,13402,13925675,446,0,UDP,3,3429,18146,0,0,925,0
9846,1,10.0.0.1,10.0.0.8,5236,101509020,18,723940860,311990665739.0,2,1943,13551,13777568,448,0,UDP,2,857181327,1113,16733,186,0,0
11436,1,10.0.0.2,10.0.0.7,19416,143492577,318,747553489,190788144964.0,3,1306,13430,7943294,451,0,UDP,3,3136,1346,0,0,0,0
11314,1,10.0.0.2,10.0.0.8,21811,116885724,229,742700180,21141749219.0,3,1943,13632,14230836,142,0,UDP,3,3223,1124,0,0,0,0
11560,1,10.0.0.1,10.0.0.8,57346,25019472,74,736706276,111197151110.0,3,1943,13612,9146460,449,0,UDP,4,4243,6525630,0,0,0,0
9846,1,10.0.0.2,10.0.0.8,10308,143948242,209,740300149,223907417907.0,3,1910,13560,14328337,451,0,UDP,2,396335460,246203662,0,0,0,0
11246,1,10.0.0.1,10.0.0.8,13071,18809916,320,746433015,318484463152.0,2,1790,13511,2089642,0,0,UDP,3,253064432,256722726,0,0,0,1
11201,1,10.0.0.2,10.0.0.8,80537,30637262,281,751207305,320411620215.0,3,1943,13637,14549728,451,0,UDP,4,3764,1204,0,0,0,0
11622,1,10.0.0.2,10.0.0.8,117060,86970269,312,705931399,37198162465.0,3,1306,10369,13617223,451,0,UDP,3,3401,1164,0,0,0,0
11455,1,10.0.0.2,10.0.0.8,32660,119186862,319,742669961,48224960099.0,3,1943,13497,14551966,446,0,UDP,1,4344,1179,0,0,0,0
9846,1,10.0.0.1,10.0.0.8,123125,12269785,153,745144838,318745646191.0,2,1910,13615,14464539,142,0,UDP,4,5091,1778,0,0,0,1
11495,1,10.0.0.2,10.0.0.7,36545,20875807,247,731354870,12587172149.0,3,1943,13550,0,450,0,UDP,3,4954,20959113,0,0,0,1
11376,1,10.0.0.1,10.0.0.8,128471,95628732,104,707620834,83324131786.0,3,1910,13042,13919563,451,0,UDP,4,71280564,2987,0,6808,0,0
9846,1,10.0.0.1,10.0.0.8,135036,12433032,14,729921723,166317082185.0,2,1931,13447,14026656,446,0,UDP,4,794740563,154343109,0,356,0,0
11335,1,10.0.0.1,10.0.0.8,9844,143849488,77,743940345,319348156143.0,3,1306,11613,13810491,450,0,UDP,3,3253,1194,0,0,0,0
11290,1,10.0.0.1,10.0.0.8,106338,6505658,310,738375542,51212132577.0,3,1931,13576,13694079,450,0,UDP,4,3331,18337,0,0,6279,0
11478,1,10.0.0.2,10.0.0.8,135034,127048413,14,246867419,320486388400.0,3,1943,13631,782117,0,0,UDP,4,4314,1458,0,0,0,0
