dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11544,1,10.0.0.1,10.0.0.8,4777,76907332,10,715066991,67296492536.0,3,1943,12918,14551966,451,0,UDP,3,3022,1086,101,4673,242,0
11298,1,10.0.0.2,10.0.0.8,7319,47454754,282,756000000,273413514001.0,3,1943,13263,14456993,443,0,UDP,4,3022,1086,14,197,300,0
11421,1,10.0.0.1,10.0.0.8,97699,116573708,51,746602234,102220407287.0,2,1931,13387,14495038,450,0,UDP,1,8110286,3152797,116,16192,90,0
11614,1,10.0.0.2,10.0.0.7,135036,69120742,114,725951486,260911616971.0,3,1943,2911,14551966,451,0,UDP,2,1350320,1086,0,1,178,0
9884,1,10.0.0.2,10.0.0.8,51966,18677184,10,242000000,10711000000.0,2,1943,13651,13942753,455,0,UDP,1,3022,1086,0,210,0,1
11439,1,10.0.0.1,10.0.0.8,74993,5092282,51,747123161,183922286087.0,2,1943,8177,8154607,451,0,UDP,4,6590815,1086,178,5808,243,1
9846,1,10.0.0.2,10.0.0.8,4777,143948376,72,282047491,160659191771.0,3,1943,13263,13824670,451,0,UDP,2,2114619,2579259,61,129,0,0
11294,1,10.0.0.1,10.0.0.8,135036,139594987,35,716316590,93853757502.0,3,1943,13403,3732840,450,0,UDP,3,8492465,520953,14,210,3716,0
9846,1,10.0.0.1,10.0.0.7,4777,137021984,140,242000000,321000000000.0,3,1910,8806,14221769,288,0,UDP,3,10453912,1086,96,347,76,1
11587,1,10.0.0.1,10.0.0.8,44246,143948376,110,756000000,10711000000.0,2,1943,13651,14551966,449,0,UDP,1,3022,1086,0,257,0,0
11445,1,10.0.0.1,10.0.0.8,45345,83462743,265,756000000,254438419382.0,2,1943,7537,14024149,451,0,UDP,4,5472283,1086,95,12056,286,0
11635,1,10.0.0.2,10.0.0.7,43329,58644589,15,756000000,146443676877.0,3,1943,13130,14270361,450,0,UDP,2,2024016,1086,65,295,386,0
11267,1,10.0.0.2,10.0.0.8,46073,143948376,94,756000000,231933893729.0,3,1910,13508,9188722,451,0,UDP,4,5718805,28147487,0,0,0,1
11216,1,10.0.0.1,10.0.0.8,4777,114369248,146,345070769,40121992907.0,3,1943,13099,14517323,0,0,UDP,4,4413410,1086,357,4926,0,1
11515,1,10.0.0.2,10.0.0.7,135036,90044941,254,756000000,321000000000.0,3,1943,13530,14368915,451,0,UDP,4,8673998,1086,0,170,289,0
11239,1,10.0.0.1,10.0.0.8,18663,58724463,246,748255937,30344950173.0,2,1910,13590,13891803,288,0,UDP,1,415140392,1086,0,288,0,0
10121,1,10.0.0.1,10.0.0.8,59103,46663010,227,724201036,279583879291.0,2,1943,5958,14137267,448,0,UDP,3,4065508,1086,123,131,20580,0
11525,1,10.0.0.1,10.0.0.8,64749,82031719,98,721557703,321000000000.0,3,1306,13518,14551966,451,0,UDP,4,878585251,1086,314,100,2450,0
11550,1,10.0.0.1,10.0.0.8,105023,5092282,10,741791568,321000000000.0,2,1943,7125,14092161,451,0,UDP,4,9061609,4802053,0,382,0,1
11189,1,10.0.0.1,10.0.0.8,16457,90628511,227,751564839,167900112617.0,3,1943,13651,14497878,443,0,UDP,3,3022,1086,0,26,0,0
10017,1,10.0.0.1,10.0.0.7,135036,97998570,88,703695744,36069925195.0,3,1910,13276,14551966,443,0,UDP,3,11613275,1621872,183,14803,169,0
11472,1,10.0.0.1,10.0.0.8,61271,143948376,270,738778690,246341597988.0,2,1790,71,14200256,450,0,UDP,4,3022,1086,0,141,8492,0
11231,1,10.0.0.1,10.0.0.8,97683,84053360,280,727955116,103249907295.0,2,1943,13245,14513679,451,0,UDP,1,3022,1086,402,351,3133,0
11635,1,10.0.0.1,10.0.0.7,31362,77019030,109,336549099,98436463248.0,3,1943,13651,701429,451,0,UDP,2,10971483,1086,0,0,0,0
11282,1,10.0.0.2,10.0.0.8,53626,97875257,177,756000000,101542254492.0,3,1943,13049,14312733,451,0,UDP,2,4556292,1086,37,179,10829,0
9846,1,10.0.0.1,10.0.0.8,42778,143948376,80,756000000,159967001432.0,3,1943,13036,14523889,451,0,UDP,2,3022,1086,2,0,9030,0
11312,1,10.0.0.1,10.0.0.8,135036,47465898,235,718868816,257767606984.0,3,1943,259,14551966,450,0,UDP,4,10931306,1086,0,130,470,0
11593,1,10.0.0.2,10.0.0.8,106392,109132191,297,756000000,245597352737.0,2,1943,10168,14551966,449,0,UDP,4,7056656,108558824,196,352,454,0
11353,1,10.0.0.1,10.0.0.8,85467,71013685,226,756000000,286939641619.0,2,1943,12923,14551966,451,0,UDP,4,813823,1086,99,89,11055,0
11231,1,10.0.0.1,10.0.0.8,63973,57470188,262,712343509,226049447783.0,2,1943,13544,14478369,451,0,UDP,1,3609786,1798565,170,193,78,0
11343,1,10.0.0.1,10.0.0.8,135036,120298419,44,310879971,74117425493.0,3,1943,13280,14162464,451,0,UDP,2,15324891,1086,74,205,4592,0
