dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11631,1,10.0.0.1,10.0.0.8,127537,135955110,237,756000000,246357191543.0,2,1943,13651,14551966,450,0,UDP,3,54389799,1744933,13847,4978,3386,0
10673,1,10.0.0.1,10.0.0.8,20759,22128908,123,756000000,134952676457.0,3,1943,13651,14551966,451,0,UDP,2,3022,1094,1291,1308,0,0
11019,1,10.0.0.1,10.0.0.8,116650,124349769,303,756000000,307928254603.0,3,1943,13651,14551966,451,0,UDP,3,54088,388187,4685,7406,393,0
11189,1,10.0.0.1,10.0.0.8,62693,66830976,152,242000000,161045692160.0,3,1943,13651,14551824,451,0,UDP,2,26327315,6145508,14570,8621,10790,0
10441,1,10.0.0.2,10.0.0.8,46788,49876969,140,275825244,156115599401.0,3,1943,13651,14551966,451,0,UDP,3,3323,1748,9665,2495,29,0
11188,1,10.0.0.2,10.0.0.7,73574,78430209,129,755511069,137132923485.0,3,1910,13651,14551831,451,0,UDP,3,3022,71244479,2441,12746,3483,0
11443,1,10.0.0.2,10.0.0.8,121303,129309538,293,756000000,298323805184.0,3,1943,13651,14551730,455,0,UDP,1,71285368,1087,18217,2576,3432,1
11363,1,10.0.0.1,10.0.0.8,75091,80047060,278,756000000,287991529819.0,3,1943,13651,14551966,142,0,UDP,1,6525773,1628252,14814,6433,4985,1
11284,1,10.0.0.1,10.0.0.7,60911,64931934,131,755999957,141521643906.0,2,1306,13067,13935850,451,0,UDP,1,876564,2070378,11158,2446,172,0
11625,1,10.0.0.1,10.0.0.8,117449,125201679,201,756000000,216597280683.0,3,1943,13651,14551966,451,0,UDP,3,15593027,7147172,11566,7534,5378,0
10571,1,10.0.0.2,10.0.0.8,88958,94829314,288,756000000,296372304531.0,3,1943,13651,14551966,449,0,UDP,1,2740865,4322,6869,3961,233,0
11330,1,10.0.0.2,10.0.0.7,47311,50434402,189,756000000,205040686045.0,3,1790,13651,14551963,451,0,UDP,1,3022,23997058,3838,7362,721,0
10703,1,10.0.0.2,10.0.0.8,63340,67520888,239,756000000,251521329642.0,3,1943,13651,14551966,288,0,UDP,1,190821,1941680,7397,6318,1153,0
11220,1,10.0.0.2,10.0.0.8,94637,100883504,230,756000000,242117174769.0,3,1943,13651,14551966,446,0,UDP,1,3824,38391,6251,2361,45,0
11600,1,10.0.0.1,10.0.0.8,130725,139353258,290,756000000,295765867055.0,2,1790,12262,13082328,455,0,UDP,4,3022,1990930,1462,5426,11,1
11278,1,10.0.0.1,10.0.0.8,42967,45803740,72,242000000,79392361987.0,2,1790,13651,14551966,451,0,UDP,4,2136435,1088,8714,3029,123,0
10913,1,10.0.0.1,10.0.0.8,21386,22797767,127,756000000,141432191738.0,3,1943,13651,14551573,443,0,UDP,2,5618954,340811,12329,4669,1973,0
10758,1,10.0.0.2,10.0.0.7,65578,69907271,189,756000000,203928597166.0,2,1910,13650,14550733,451,0,UDP,3,27987567,1087,14951,2042,428,0
11475,1,10.0.0.1,10.0.0.8,33511,35722971,128,756000000,147875190328.0,3,1910,13651,14551966,142,0,UDP,1,8978,3986,5710,5259,830,0
11001,1,10.0.0.1,10.0.0.7,89153,95037876,190,242000000,201606060977.0,3,1943,13651,14551966,451,0,UDP,2,3022,103532,4659,3810,14,0
9846,1,10.0.0.1,10.0.0.7,12610,13442695,15,242000000,16111468794.0,2,1910,67,72069,288,0,UDP,1,3022,3299244,502,9541,134,1
11634,1,10.0.0.1,10.0.0.8,112290,119701725,144,756000000,154126344872.0,2,1943,13591,14489144,0,0,UDP,2,4083269,629943,9144,4709,1002,1
11625,1,10.0.0.2,10.0.0.8,123458,131607006,269,756000000,278314260583.0,3,1943,13651,14551966,451,0,UDP,2,3050,6486580,4953,9791,2087,0
11618,1,10.0.0.2,10.0.0.8,127296,135697821,315,756000000,317905740497.0,3,1943,13651,14551966,448,0,UDP,1,76769193,1598983,16180,6362,7398,1
11282,1,10.0.0.2,10.0.0.8,64327,68573263,157,756000000,173129563623.0,2,1790,13651,14551966,450,0,UDP,1,51947195,14463,13508,5646,4578,0
11570,1,10.0.0.2,10.0.0.8,129140,137663743,275,756000000,283386974899.0,3,1943,13651,14551966,451,0,UDP,1,987317,21250279,8722,9466,4518,0
11595,1,10.0.0.1,10.0.0.8,132684,141441156,298,756000000,303451725985.0,3,1943,13651,14551966,450,0,UDP,4,8095,152807925,5932,14963,13283,0
11616,1,10.0.0.1,10.0.0.8,134975,143883475,320,756000000,320740473294.0,3,1943,13651,14551966,451,0,UDP,1,5800,139185708,4656,12250,4972,0
11202,1,10.0.0.1,10.0.0.8,33016,35195939,104,755999926,114706370196.0,2,1943,13651,14551966,451,0,UDP,2,5256,1447,4972,5075,118,0
