dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11338,1,10.0.0.2,10.0.0.8,11552,38456702,73,737214545,62433010648.0,3,1943,13474,14395283,448,0,UDP,2,3022,1086,23,0,68,0
11337,1,10.0.0.2,10.0.0.8,10028,17384315,33,735155860,11660310322.0,2,1306,13536,14410963,449,0,UDP,3,3022,111853,0,0,0,0
11401,1,10.0.0.1,10.0.0.8,47954,62276246,144,729059253,122448693929.0,3,1790,13550,14395467,450,0,UDP,1,3022,1757655,0,0,0,0
11425,1,10.0.0.2,10.0.0.8,94418,106709146,244,741239548,238249761384.0,3,1943,13530,14347743,451,0,UDP,2,355138,1086,0,22,21,0
9858,1,10.0.0.1,10.0.0.7,47462,19267525,71,242000000,48019408875.0,3,1931,13431,14307489,450,0,UDP,3,647406,1086,35,67,6259,0
11514,1,10.0.0.1,10.0.0.8,108384,98762230,202,729434973,244816029417.0,3,1943,13496,14389081,451,0,UDP,3,3022,1086,2,67,3049,0
11455,1,10.0.0.1,10.0.0.8,70083,119690841,305,731216228,132519650308.0,3,1943,13513,14437070,451,0,UDP,1,3022,831523,0,0,32,0
11415,1,10.0.0.1,10.0.0.8,29862,22042125,74,725732397,90788918811.0,3,1943,13537,14427049,451,0,UDP,3,2579203,721045,15,19,2547,0
11449,1,10.0.0.2,10.0.0.8,104312,52299619,171,745440296,189121261282.0,3,1943,13536,14399801,451,0,UDP,1,3022,1086,0,0,0,0
11408,1,10.0.0.2,10.0.0.8,63573,45360179,172,739093901,88845665336.0,3,1790,13514,14408528,451,0,UDP,3,3022,1660953,0,41,11517,0
9868,1,10.0.0.1,10.0.0.7,34593,5092282,70,242000000,38036417216.0,2,1910,13480,14311631,450,0,UDP,3,3022,1086,34,0,0,0
11404,1,10.0.0.2,10.0.0.8,71350,19687800,92,734825930,30330150681.0,3,1790,13496,14395266,450,0,UDP,1,3022,1086,13,25,18,0
11346,1,10.0.0.2,10.0.0.8,4777,34423992,68,735553150,45834570045.0,3,1790,13529,14475333,450,0,UDP,2,3022,1008085,62,23,0,0
11501,1,10.0.0.1,10.0.0.8,77545,93864555,148,735578164,171949156148.0,2,1943,13441,14289912,451,0,UDP,1,892225,4568681,0,72,26,0
11531,1,10.0.0.1,10.0.0.8,98969,80632453,145,728727209,149707950291.0,3,1943,13542,14408768,451,0,UDP,3,3112784,911838,78,0,5687,0
9905,1,10.0.0.1,10.0.0.7,53402,66668999,49,253107393,131776454255.0,2,1931,13529,14415140,451,0,UDP,3,565285,1086,71,0,0,0
11468,1,10.0.0.1,10.0.0.8,63990,81209521,179,728718378,154437557901.0,3,1943,13439,14303738,451,0,UDP,3,280512,70958,24,0,5,0
11442,1,10.0.0.2,10.0.0.8,93010,109522850,167,739388038,161415817568.0,3,1943,13562,14431243,451,0,UDP,3,851723,1086,0,0,76,0
11430,1,10.0.0.1,10.0.0.8,6006,39417178,71,726413795,45872296526.0,3,1790,13528,14408882,450,0,UDP,1,598249,1086,0,0,0,0
11517,1,10.0.0.1,10.0.0.8,113949,89235673,214,735366995,199939467764.0,2,1943,13540,14412298,451,0,UDP,3,3022,784100,9,43,0,0
11448,1,10.0.0.1,10.0.0.8,91876,78690433,169,727456059,118553955298.0,3,1943,13503,14403390,451,0,UDP,2,3022,1086,0,108,43,0
11455,1,10.0.0.1,10.0.0.8,70330,57841782,101,727494284,136260668485.0,3,1943,13477,14365296,451,0,UDP,3,187276,721556,43,0,11569,0
9963,1,10.0.0.1,10.0.0.7,72901,59029528,122,247397901,142395646912.0,2,1931,13520,14323668,451,0,UDP,2,150145,1086,30,36,0,0
9881,1,10.0.0.1,10.0.0.7,22927,18992635,10,242000000,23219194299.0,2,1910,13539,14382400,450,0,UDP,3,255513,1086,11,80,61,0
11377,1,10.0.0.2,10.0.0.8,102419,104279857,249,742604347,278516630406.0,3,1943,13550,14444701,451,0,UDP,3,2792490,1663284,15,0,1904,0
11448,1,10.0.0.2,10.0.0.8,83759,74165743,213,736379743,273342486508.0,3,1943,13464,14341609,451,0,UDP,3,3022,1086,0,25,3950,0
11490,1,10.0.0.1,10.0.0.8,99526,123016757,194,728477892,167267052816.0,3,1943,13449,14383454,443,0,UDP,2,1038663,1621037,54,0,32,0
11534,1,10.0.0.2,10.0.0.8,122351,137454732,258,741521818,287568488632.0,3,1943,13540,14464333,451,0,UDP,3,3022,1086,0,0,0,0
11450,1,10.0.0.1,10.0.0.8,97374,111910286,224,732807005,143669024767.0,3,1943,13517,14409501,451,0,UDP,2,2494380,2762429,0,12,0,0
11431,1,10.0.0.1,10.0.0.8,41762,61263126,143,723402078,124908666933.0,3,1943,13527,14406527,451,0,UDP,3,34373,299011,0,0,6357,0
11444,1,10.0.0.2,10.0.0.8,111766,106042860,142,745759521,142802435874.0,3,1943,13479,14371208,451,0,UDP,1,1040701,1086,0,0,0,0
11386,1,10.0.0.2,10.0.0.8,82235,67694611,163,746694824,138672949104.0,3,1943,13486,14339976,448,0,UDP,1,3022,534556,54,0,0,0
11389,1,10.0.0.2,10.0.0.8,66214,69938307,185,734819774,138649426531.0,3,1943,13495,14405077,448,0,UDP,2,197707,1086,55,0,165,0
9881,1,10.0.0.1,10.0.0.7,15499,25877465,28,243732096,39401296817.0,2,1931,13470,14381793,451,0,UDP,1,3022,2084976,13,0,167,0
11511,1,10.0.0.1,10.0.0.8,122355,143948376,310,733163656,237672656027.0,2,1943,8920,9710855,288,0,UDP,3,3022,2519831,0,27,2582,1
11408,1,10.0.0.2,10.0.0.8,54916,57056877,167,736254738,161786673520.0,3,1943,13506,14399292,451,0,UDP,3,1949898,614163,45,22,13521,0
11474,1,10.0.0.2,10.0.0.8,124962,109634058,277,742786401,173164622222.0,3,1943,13499,14384716,451,0,UDP,1,3022,1734175,0,23,0,0
11437,1,10.0.0.1,10.0.0.8,78488,102215977,214,736800593,245114585939.0,3,1943,13540,14351887,451,0,UDP,2,3022,1086,92,0,38,0
11484,1,10.0.0.1,10.0.0.8,104742,89765506,198,732548685,216434041334.0,3,1943,13586,14417246,451,0,UDP,3,1757580,2329844,68,13,5926,0
11387,1,10.0.0.1,10.0.0.8,26160,28537929,17,726333199,40828387692.0,3,1943,13500,14345360,448,0,UDP,1,745865,1219294,3,0,0,0
11361,1,10.0.0.2,10.0.0.8,11940,18466209,40,736052210,48162919467.0,3,1943,13499,14373296,448,0,UDP,3,3022,609356,58,0,3094,0
11488,1,10.0.0.1,10.0.0.8,113182,132495194,314,732775079,272908560216.0,2,1943,13538,14386854,451,0,UDP,2,3022,1086,39,31,0,0
11417,1,10.0.0.2,10.0.0.8,66298,53232425,170,730855710,140308464245.0,3,1943,13540,14402973,451,0,UDP,3,3022,1086,80,0,3172,0
11542,1,10.0.0.2,10.0.0.8,125744,119486224,270,746903402,242346330662.0,3,1943,13471,14393927,451,0,UDP,3,2332959,610568,0,5,0,0
11314,1,10.0.0.2,10.0.0.8,4777,31075188,29,731202649,49930824910.0,3,1790,13482,14360311,450,0,UDP,3,167669,2322029,26,0,0,0
11389,1,10.0.0.1,10.0.0.8,58553,41276591,147,730704817,111110775871.0,3,1790,13524,14388676,450,0,UDP,3,3022,1086,18,0,5918,0
11349,1,10.0.0.1,10.0.0.8,27490,27644951,81,732530561,29825136374.0,3,1790,13508,14447450,450,0,UDP,3,3022,11390,13,0,0,0
11463,1,10.0.0.2,10.0.0.8,131261,105837243,274,744971721,262299503845.0,3,1943,13550,14524123,451,0,UDP,3,3022,2295956,0,16,11378,0
11443,1,10.0.0.2,10.0.0.8,83492,106449703,265,745940168,208104910475.0,3,1943,13536,14415331,451,0,UDP,2,1645638,1086,44,0,0,0
11382,1,10.0.0.2,10.0.0.8,66835,54377705,131,739340574,121768074274.0,3,1790,13505,14404116,448,0,UDP,2,3022,1048015,28,14,0,0
11487,1,10.0.0.2,10.0.0.8,101465,113809702,126,736599483,165543882776.0,3,1943,13436,14350953,451,0,UDP,3,1374875,344229,80,12,12606,0
9952,1,10.0.0.1,10.0.0.7,60956,49266075,185,250598819,142335268542.0,2,1943,13519,14393058,451,0,UDP,1,3022,1086,60,0,18,0
11429,1,10.0.0.2,10.0.0.8,91529,87734791,214,741419054,167261546863.0,3,1943,13515,14414063,451,0,UDP,2,1733190,1086,7,0,8,0
11337,1,10.0.0.2,10.0.0.8,22352,10314110,14,736356204,65160795097.0,3,1306,13510,14415816,449,0,UDP,1,3022,1086,5,15,0,0
10000,1,10.0.0.1,10.0.0.7,10294,94627834,108,249853266,93489027535.0,2,1931,13603,14457774,451,0,UDP,3,3022,90236,0,0,0,0
11488,1,10.0.0.1,10.0.0.8,101490,103886542,215,730679622,238015343531.0,3,1943,13559,14477490,451,0,UDP,2,3022,1910616,46,3,0,0
11561,1,10.0.0.1,10.0.0.8,85374,111689735,176,731601099,271800775624.0,3,1943,13601,14534392,455,0,UDP,2,3022,1086,0,0,0,0
11483,1,10.0.0.1,10.0.0.8,88434,135175912,189,732974054,309078218856.0,2,1943,13533,14458433,451,0,UDP,3,3022,134924,0,0,3646,1
9867,1,10.0.0.1,10.0.0.7,33235,34437526,10,244736963,52373457992.0,3,1931,13492,14342252,450,0,UDP,2,3022,1086,54,13,18,0
11472,1,10.0.0.2,10.0.0.8,86935,112830920,126,743316304,134048938079.0,3,1943,13535,14423818,451,0,UDP,1,529975,363168,0,0,0,0
11477,1,10.0.0.1,10.0.0.8,34716,30773968,139,724646841,68939455888.0,3,1943,13511,14434526,451,0,UDP,3,3022,1544049,0,0,0,0
11533,1,10.0.0.1,10.0.0.8,100350,123797288,139,733966756,165179769329.0,3,1943,13547,14474163,455,0,UDP,2,3022,318509,0,0,0,1
11416,1,10.0.0.1,10.0.0.8,20449,12581961,20,735722446,10711000000.0,2,1943,13443,14295736,446,0,UDP,3,1150534,1264794,0,63,3873,0
11488,1,10.0.0.1,10.0.0.8,131621,122777099,267,735918322,238494140153.0,2,1943,13466,14346079,451,0,UDP,3,3022,1086,0,0,6,1
11472,1,10.0.0.2,10.0.0.8,99041,110519257,147,748862648,118320600336.0,3,1943,13568,14499996,451,0,UDP,1,2926588,1086,0,27,0,0
11434,1,10.0.0.2,10.0.0.8,88990,96793976,234,740268878,180977085940.0,3,1943,13583,14443927,451,0,UDP,3,3144531,1761689,10,0,10261,0
11508,1,10.0.0.1,10.0.0.8,89158,115124481,191,735600246,226405981847.0,3,1943,13549,14441018,455,0,UDP,1,3022,1086,0,0,0,0
