dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,143928631,3917,0,0,0,0
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,4,3842,3520,0,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3795,1242,0,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,3688,1492,0,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,3413,3665,0,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3795,1402,0,0,0,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,4,3665,3413,0,0,0,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3775,1492,0,0,0,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3845,1402,0,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,354583059,4295,16578,0,16578,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3775,1242,0,0,0,0
