dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label
7835,5,10.0.0.3,10.0.0.10,65001,3706747,149,390000000,149184000000,7,25224,8510,512179,283,1,TCP,2,5807254,138588765,166,3516,3829,0
31119,6,10.0.0.12,10.0.0.10,231,21103,232,361000000,232484000000,9,5750,29,2914,0,1,ICMP,3,141710424,394556878,3,3,7,0
9993,5,10.0.0.9,10.0.0.7,134298,138635779,286,335000000,284443000000,3,1938,13532,14425579,451,0,UDP,4,3681,3420,0,0,0,0
6852,5,10.0.0.12,10.0.0.9,887,87960,955,670000000,924084000000,11,3629,43,3022,2,0,ICMP,5,270855850,103582,0,0,0,0
31434,3,10.0.0.11,10.0.0.1,89769,94704509,288,431000000,287803000000,3,22102,13468,14745637,448,1,TCP,2,390476865,20089703,12105,716,12981,0
7206,3,10.0.0.2,10.0.0.3,658,61363,648,374000000,674849000000,7,3561,29,2861,0,0,ICMP,2,65235,135529122,1,1,3,0
11189,3,10.0.0.5,10.0.0.9,70771,73560059,231,651000000,227948000000,2,1300,13303,14558892,444,0,UDP,1,4714,139407718,0,0,0,0
28810,6,10.0.0.14,10.0.0.7,239,21575,230,951000000,232059000000,7,2801,29,2849,0,1,ICMP,1,19619,28659,0,0,0,0
3251,3,10.0.0.9,10.0.0.5,66502,70341749,147,331000000,143230000000,3,7904,13531,14424835,451,0,UDP,2,4926,392041187,0,6503,6762,0
35948,3,10.0.0.5,10.0.0.7,31804,34876926,104,877000000,105373000000,9,2805,13525,14418146,450,1,UDP,4,176152861,4480,10711,0,10775,0
2659,4,10.0.0.2,10.0.0.3,131138,135611176,1459,357000000,1666484000000,11,2798,39,4299,7,1,ICMP,1,483864537,525389553,3,3,14,1
6983,2,10.0.0.7,10.0.0.11,525,51394,514,117000000,519393000000,4,3570,29,2896,0,0,ICMP,2,62396,135501032,0,0,0,0
4229,3,10.0.0.4,10.0.0.2,58207,62130721,130,260000000,127421000000,5,1164,8820,557798,293,1,TCP,1,8362336,5010924,0,0,0,1
30077,7,10.0.0.3,10.0.0.11,632,64564,676,902000000,662189000000,3,2053,29,2853,0,1,ICMP,1,6142,135457834,0,0,0,0
25126,1,10.0.0.2,10.0.0.9,947,88518,945,337000000,948159000000,3,3023,29,2927,0,1,ICMP,3,135504546,100350,0,0,0,0
31161,5,10.0.0.9,10.0.0.12,840,82244,819,238000000,819917000000,9,5312,30,4598,6,1,ICMP,1,134081149,40423,1,1,2,0
3273,6,10.0.0.3,10.0.0.5,12669,14701127,49,329000000,49673000000,2,7909,9460,10115217,317,0,UDP,1,4968,276760710,0,0,0,1
31103,6,10.0.0.6,10.0.0.4,94863,96862794,313,84000000,309054000000,5,3986,9276,501898,309,1,TCP,1,6531793,156667311,0,0,0,1
24572,6,10.0.0.4,10.0.0.12,329,30733,343,901000000,338126000000,7,3002,44,3506,6,1,ICMP,1,134174891,64748454,0,2396,2414,0
28359,6,10.0.0.7,10.0.0.12,766,79156,792,162000000,809733000000,11,2812,46,5414,1,1,ICMP,3,258801015,270911324,0,0,0,0
9931,4,10.0.0.12,10.0.0.7,6159,6191388,16,892000000,12841000000,7,1931,1,417,0,0,UDP,3,3378,2749,0,0,0,1
31330,5,10.0.0.1,10.0.0.13,740,70434,776,906000000,769111000000,9,5694,45,4614,2,1,ICMP,2,132852402,406262126,2,1,5,0
11560,5,10.0.0.3,10.0.0.8,118445,119029909,385,807000000,382211000000,5,1944,9337,9728086,311,0,UDP,2,4150,1528,0,0,0,1
12056,3,10.0.0.8,10.0.0.8,15405,18273906,63,668000000,61418000000,3,2298,12803,14468409,429,0,UDP,1,4038,1473,0,0,0,0
31629,2,10.0.0.1,10.0.0.14,40991,2642591,131,56000000,131694000000,11,22666,8996,530418,301,1,TCP,2,7190393,7015487,0,0,0,0
